Table,Name,Parameter ID,Type,Specifications,Description,Validation steps,In DBD,Notes:
Profile,Name,profiles.name,Short Text,,Full name of the Profile,"The full name of the Profile, as is used in their logo, across social media and documentation.",true,"We use the term “Profile” because not every entity will be or have a project, product, or organization. those features of a Profile will be defined in other fields."
Profile,Type,profiles.profileType,Link to another Table,Profile - Sector / Subsector,"What is the type of this Profile? Often things like DAO, project, investor, government or other. ","What would a user most likely refer to this Profile as. ",true,"Acts as a high level overview of the Profile, for example investor "
Profile,Sector,profiles.profileSector,Link to another Table,Profile - Sector / Subsector,"The main industry or client type that this Profile serves. Acts as a high level category of a Profile. ",Sector may be determined by the type of conferences or events the Profile attends. Sector may also be determined by the regulations the Profile is subject to follow.,true,Could be use case VS industry.
Profile,Current Status,profiles.profileStatus,Link to another Table,Profile - Sector / Subsector,What is the Profile’s current stage?,"If a person can only interact one way with the profile (e.g. sign up for newsletter, follow on Twitter), then the profile is Announced. If a person can successfully have a two-way interaction with the profile’s offering (e.g. use the product or service, build on the blockchain), then the profile is Active. If a person has frequent unsuccessful interactions with the profile’s offering (e.g. product does not function as intended, the platform’s data is out of date), then the profile is Inactive. If a person can no longer interact with the profile’s offering, or if the entity has announced the profile’s closure, then the profile is Closed.",true,
Profile,Founding date,profiles.foundingDate,Date,,"Date when Profile publicised itself or registered with a regulatory body. Can usually be shortened to Month and Year. ","Making the best effort to figure out when this Profile launched, can often be found on their social media bio (e.g. when they setup the account) or in their first white paper. The Founding Date may also be when the Profile published their first piece of content (e.g. their website, their first Tweet, their first LinkedIn post). Always put in a date where possible but month and year is acceptable.",true,
Profile,Logo,profiles.logo,Image,URL,"Standard size image of the visual identity of the Profile with a transparent background, use PNG or SVG","This image should be recognizable as the profile’s visual identity in both color and black-and-white. For example, if the Profile modifies their Logo to celebrate holidays or special occasions, a person should still be able to identify the visual identity of the brand within the graphic.",true,"Consider the creation of 2 logos, one the logo without the name (icon) and one with the name, full logo. "
Profile,Short Description,profiles.descriptionShort,Long text,,"Explains in one sentence (no more than 140 characters) what this Profile does. It may also describe whom the Profile serves, and how the Profile is used.","Description is written in third person singular. Description must answer what the Profile is in a complete sentence. Description may answer whom the Profile serves and how the Profile is used. Description cannot have any content that is subject to change frequently or in a timely manner. Description cannot make any claims subject to opinion. Does not include links. Does not define common industry terms within the description.
Uniswap
Yes: Uniswap is a DeFi protocol centered around its DEX that sources liquidity for swapping crypto assets. (101 characters. This description explains what the Profile is in objective terms.)
No: Uniswap is the largest decentralized exchange (or DEX) operating on the Ethereum blockchain. (”largest” is subjective. DEX does not need to be defined.)

Solana
Yes: Solana is a L1 blockchain that supports smart contracts and facilitates the creation of dApps. (94 characters. This description explains what Solana is and how people interact with the profile.)
No: Solana is a Layer 1 blockchain that offers users fast speeds and affordable costs. (”fast speeds and affordable costs” are subjective. They are considered perks or advantages of using the Profile’s offering, and not an explanation of what Solana is, who the Profile serves, or how the Profile is used.)",true,"Why so short: The shorter the description, the less we have to validate."
Profile,"Long Description ",profiles.descriptionLong,Long text,,"In 3 to 5 sentences, briefly expands on what this profile does and for whom, and can also briefly explain why. It does not need to explain how.",Description is written in third person singular. Description may give more detail about what the profile is. Description may give more detail about whom the profile serves. Description may include a mission statement or goals. Description cannot have any content that is subject to change frequently or in a timely manner. Description cannot make any claims subject to opinion. Does not include links or calls to action.,true,"Why so short, even as a “long” description: The shorter the description, the less we have to validate."
Profile,Tag line,profiles.tagLine,Long text,,A slogan or phrase that the Profile commonly uses in marketing materials.,This text may be found in the Profile’s social media account descriptions and on the Profile’s website.,true,
Profile,Main URL,profiles.urlMain,URL,,Links to the main website of the Profile. At the moment we use only domain name (like bitcoin.org) for technical reasons.,"Check social media and Google to confirm that this the main URL of the profile. Confirm that it is not a ‘similar’ URL. Domain name (without https or www). Must be unique. ",true,
Profile,Blog URL,profiles.urlBlog,URL,,Link to the root of the Profile’s page for content,"The URL is for the website with the most published content that does not focus on the Profile’s services or operations. The text or content on the website will often have opinions and announcements concerning the Profile, its Sector, and its Subsector. If the Profile appears to have more than one blog (e.g. a news subpage on their website and a Medium page), choose the blog that has the most recently published content.",true,"The purpose of this field is for people to learn more about the content that a Profile is creating. Some companies will have a blog page on their website, but they may publish more frequently somewhere else for distribution purposes. Many companies also have a “news” page, which consolidates content such as articles, podcasts, press releases, and product announcements."
